ং	ŋ
কেগা	k e . ɡ a
কেঠা	k ɛ . t̺ʰ a
কেডা	k ɛ . d̺ a
কেন	k ɛ . n oː
কেয়া	k e a
কেলা	k ɛ . l a
কোমর	k ɔ m ɔ ɹ
কৌলিক	k o u̯ . l i k
কৌশিক	k o u . ʃ i k
কৌশিক	k o u̯ s̠ i k
কৌশিক	k o u̯ s̠ i k
ক্যা	k ɛ
ক্ষমাহীন	kʰ ɔ m a ɦ i n
কৎবেল	k ɔ t b e l
খ	kʱ ɔ
খয়ের	kʰ ɔ e ɾ
খরগোশ	ˈkʰ ɔ r ɡ o ʃ
খরচ	kʰ ɔ ɾ o t ʃ
খাতির	kʰ a t̪ i ɾ
খান	kʰ a n
খানকি	kʰ a ŋ k i
খারাপ	kʰ a ɾ a p
খালি	kʰ a l i
খালী	kʰ a l i
খুজুটিপাড়া	kʰ u . d͡ʒ u . ʈ̟ i . p ɑ . ɽ̟ ɑ
খুব	kʰ u b
খুশি	kʰ u ʃ i
খূব	kʰ u b
খেজুর	kʰ e d ʒ u r
খেয়াল	kʰ e a l
খেলনা	kʰ e l . n ɑ
খেলনা	kʰ ɛ l n ɑ
খেলনা	kʰ ɛ l n ɑ
খেলা	kʱ æ l a
খোঁজা	kʰ õ d ʒ a
খোঁজা	kʰ õ d z a
খোঁজা	kʰ õ z a
গ	ɡ ɔ
গং	ɡ ɔ ŋ
গণিকা	ɡ ɔ n i k a
গণ্ডার	ɡ ɔ n ɖ a r
গন্ডার	ɡ ɔ n ɖ ɑ ɾ
গন্ডার	ɡ ɔ n ɖ ɑ ɹ
গন্ধতৃণ	ɡ ɔ n dʱ ɔ t ɾ i n ɔ
গন্ধভাদাল	ɡ ɔ n dʱ ɔ bʱ a d a l
গরিলা	ɡ ɔ ɾ i l a
গরিলা	ɡ ɔ ɹ i l a
গর্দান	ɡ ɔ ɾ . d̪ a n
গলা	ɡ ɔ l a
গল্প	ɡ ɔ l p o
গহির	ɡ ɔ . ɦ i ɾ
গাঁইড়া	ɡ a i . ɾ a
গাঁজা	ˈɡ ã d ʒ a
গাঁজা	ˈɡ ã n d ʒ a
গাঁজা	ˈɡ a d ʒ a
গাঁজা	ˈɡ a n d ʒ a
গাঁজা	ˈɡ a d z a
গাঁজা	ˈɡ a n d z a
গাঁড়	ɡ ã ɽ
গাইড়া	ɡ a i . ɾ a
গাছ	ɡ ɑ s
গাছ	ɡ ɑ t ʃʰ
গাড়া	ɡ a ɽ a
গাড়ি	ɡ a ɽ i
গাড়ী	ɡ a ɽ i
গুজরাট	ɡ u d ʒ ɔ ɾ a ʈ
গুফা	ɡ u . pʰ ɑ
গুম	ɡ u m
গুম্ফা	ɡ u m . pʰ ɑ
গুরুত্বপূর্ণ	ɡ u r u tː ɔ p u r n ɔ
গুহা	ɡ u . ɦ ɑ
গেরাম	ɡ e . ɾ ɑ m
গোফা	ɡ o . pʰ ɑ
গোশ	ɡ o ʃ
গোশত	ɡ o ʃ t̪
গোশত	ɡ o ʃ t̪ o
গোস্ত	ɡ o s t̪ o
গৌতম	ɡ o u . t̪ ɔ m
গ্রন্থাগার	ɡ ɾ o n tʰ a ɡ a ɾ
গ্রাম	ɡ ɾ ɑ m
গ্রেপ্তার	ɡ ɾ e p t̪ a ɾ
গ্রেফতার	ɡ ɾ e f t̪ a ɾ
গ্লাস	ɡ l a s
গ্লাস	ɡ l a ʃ
ঘ	ɡʱ ɔ
ঘর	ɡʱ ɔ ɾ
ঘাড়	ɡʱ a ɽ
ঘুড়ি	ɡʱ u ɽ i
ঘুড়ি	ɡ u ɽ i
ঘোঙ্গা	ˈɡʱ o ŋ . ɡ ä
ঘোড়া	ɡʱ o ɽ a
ঘোষ	ɡʱ o ʃ
ঘোষাল	ɡʱ o . ʃ ɑ l
ঙ	ŋ ɔ
চ	t͡ʃ ɔ
চ	t͡s ɔ
চ	t͡ɕ ɔ
চউখ	t͡s ɔ u kʰ
চউখ	t͡s ɔ u k
চউখ	s ɔ u k
চর্বি	t ʃ o r b i
চশমা	t ʃ ɔ ʃ m a
চা	t ʃ a
চাউল	c a u̯ l
চাকমা	t͡ʃ ɐ k m ɐ
চাকা	t ʃ a k a
চাটা	ˈt ʃ a ʈ a
চান	t ʃ a n
চান	t͡s a n
চান	s a n
চানকপাইল্যা	t͡s a n . k ɒ . p a i l . l a
চানকপাইল্যা	t͡s a n . k ɒ . ɸ a i l . l a
চানকপাইল্যা	s a n . k ɒ . p a i l . l a
চানকপাইল্যা	s a n . k ɒ . ɸ a i l . l a
চান্নি	t͡s a n . n i
চান্নি	s a n . n i
চামচড়া	t͡s a m . t͡s ɒ . ɾ a
চামচড়া	s a m . s ɒ . ɾ a
চালতা	c a l t a
চালানো	ˈt ʃ a l a n o
চিংড়ি	t͡ʃ i ŋ r i
চিড়িয়াখানা	t ʃ i ɽ i a kʰ a n a
চিনি	t ʃ i n i
চিলমচি	t ʃ i l ɔ m t ʃ i
চুঁচি	ˈt͡ʃ ũ . t͡ʃ i
চুঁচি	ˈt͡s ũ . t͡s i
চুদা	t͡ʃ u . d̪ ɑ
চুম্বন	t ʃ u m b ɔ n
চুরট	t͡ʃ u . ɾ ɔ ʈ̟
চুরি	t͡ʃ u r i
চুরুট	t͡ʃ u . ɾ u ʈ̟
চুল	t ʃ u l
চুল	t s u l
চেত	t͡ʃ e t̪ o
চেত	t͡s ɛ t̪
চেত	s ɛ t̪
চেত	t͡s ɛ t̪
চেত	s ɛ t̪
চেতা	t͡ʃ e t̪ a
চেতা	t͡s ɛ t̪ a
চেতা	s ɛ t̪ a
চেতা	t͡s ɛ t̪ a
চেতা	s ɛ t̪ a
চেয়ার	ˈt͡ʃ e . ä ɾ
চেয়ে	ˈt͡ʃ e j e
চৈনিক	t͡ʃ o i̯ . n i k
চোখ	t ʃ o kʰ
চোথা	c o . t̪ʰ a
চোদা	t͡ʃ o . d̪ ɑ
চোষা	t ʃ o ʃ ɑ
চোষা	t s o ʃ ɑ
চৌধুরি	ˈt͡ʃ o u̯ . d̪ʱ u . ɾ i
চৌধুরি	ˈt͡s o u̯ . d̪ʱ u . ɾ i
ছ	t͡ʃʰ ɔ
ছ	t͡sʰ ɔ
ছ	t͡ɕʰ ɔ
ছবি	t ʃʰ o b i
ছাত্র	t ʃʰ a t̪ ɾ o
ছিটমহল	t ʃʰ i ʈ . m ɔ ɦ ɔ l
ছিপ	t͡ʃʰ i p
ছিপ	s i p
ছিপ	s i ɸ
ছিপ	s i p
ছিপ	s i ɸ
ছিপি	t͡ʃʰ i . p i
ছিপি	s i . p i
ছিপি	s i . ɸ i
ছিপি	s i . p i
ছিপি	s i . ɸ i
ছেলে	t ʃʰ e l e
ছেলে	s e l e
জ	d͡ʒ ɔ
জঙ	ɟ ɔ ŋ
জন্মদিন	ˈd ʒ ɔ n m o ˌd̪ i n
জন্যে	d ʒ ɔ nː e
জবাই	d ʒ ɔ b a i
জমি	d ʒ o m i
জমিন	d ʒ o m i n
জল	d͡ʒ ɔ l
জাড়	d ʒ a ɽ
জাড়	z a ɾ
জাড়	d͡z a ɾ
জাদু	d ʒ a d̪ u
জায়গা	d ʒ a e̯ ɡ a
জিগানো	z i . ɡ a . n ɔ
জিনিস	d ʒ i n i ʃ
জিব্ভা	z i b . bʱ a
জির্ভা	z i ɾ . bʱ a
জিহ্বা	d͡ʒ i u̯ bʱ a
জিহ্বা	d͡ʒ i u̯ β a
জীবন	d ʒ i b ɔ n
জীবিত	d͡ʒ i . b i . t̪ ɔ
জীবিত	d͡ʒ i b i t̪ o
জীবিত	d͡ʒ i b i t̪ o
জেঠ	z ɛ t̺ʰ
জোস	d ʒ o s
জোস	d ʒ o ʃ
জ্যোৎস্না	d ʒ o t ˈs n a
ঝ	d͡ʒʱ ɔ
ঝাল	ɟʱ a l
ঝিঙা	ɟʱ i ŋ a
ঝিঙ্গা	ɟʱ i ŋ ɡ a
ঞ	j ɔ̃
ঞ	n ɔ
ট	ʈ ɔ
টমটম	ʈ̟ ɔ m . ʈ̟ ɔ m
টলা	t̺ ɒ . l a
টানা	ˈʈ a n a
টিকট	ˈʈ̟ i . k ɔ ʈ̟
টিকিট	ˈʈ̟ i . k i ʈ̟
টুপি	ˈʈ u p i
টেলক	ʈ æ . l ɔ k
টেলক	t̺ ɛ . l ɔ k
টেলক	t̺ ɛ . l ɔ k
টেহা	t̺ ɛ . ɦ a
ট্যাক্সি	ʈ æ k s i
ঠ	ʈʱ ɔ
ঠাঁঁই	ʈʰ ã i
ঠাঁই	ʈʰ ã i
ঠোঁট	tʰ o t
ঠোঁট	tʰ u t
ড	ɖ ɔ
ডগ	d̺ ɒ ɡ
ড়	ɽ̟
ডাক্তার	ɖ a k t̪ a ɾ
ডাঙর	d a ŋ ɔ ɾ
ডিম	ɖ i m
ডিলডো	ɖ i l ɖ o
ডিল্ডো	ɖ i l ɖ o
ডুরিয়ান	ɖ̟ u . ɾ i . ɑ n
ডেহা	d̺ ɛ . ɦ a
ঢ	ɖʱ ɔ
ঢ়	ɽ̟
ঢাকা	ˈɖʱ a k a
ঢেঁড়স	ɖʱ æ̃ ɽ o ʃ
ণ	n ɔ
ত	t ɔ
তটিনী	t o ʈ i n i
তড়িৎ	ˈt̪ ɔ ɽ i t̪
তবু	t̪ ɔ b u
তবুও	t̪ ɔ b u o
তবে	t̪ ɔ b e
তল্লাশি	t̪ ɔ l l a ʃ i
তাঁরা	t̪ ã r a
তাং	t̪ a ŋ
তাই	t̪ a͡i
তাওয়া	t̪ a w a
তাকানো	t̪ a k a n̪ o
তাজ	t̪ a d ʒ
তাজা	t̪ a z a
তামা	t a m a
তামাশা	t̪ ä . m ä . s̠ ä
তামুক	t̪ a . m u k
তার	t̪ a r
তার	t̪ a r
তারা	t̪ a r a
তারা	t̪ a r a
তারিপ	t̪ ä . ɾ i p
তারিফ	t̪ ä . ɾ i pʰ
তালাশ	t̪ a l a ʃ
তিনি	t̪ ɪ . n̪ ɪ
তিমি	t̪ i m i
তিসি	t i ʃ i
তীর	t̪ ɪː ɾ
তুঁই	t̪ ũ i
তুই	ˈt̪ ʊ i
তুফান	t̪ u f a n
তুমি	ˈt̪ u ˌm i
তুরিত	ˈt̪ u . ɾ i t̪
তুলনামূলক	t u l n a m u l ɔ k
তৃণমূল	t̪ ɾ i . n ɔ . m u l
তেঁতুল	t ẽ t u l
তেল	t̪ e l
তোমাদের	ˈt̪ o m ɑ ˌd̪ ɛ ɹ
তোশক	t̪ o ʃ o k
ত্রিপত্র	t ɾ i p ɔ tː ɾ ɔ
থ	tʱ ɔ
থন	t̪ʰ ɒ n
থনে	t̪ʰ ɒ n e
থলি	t̪ʰ ɔ . l i
থাকা	t̪ʰ ɑ k ɑ
থানকুনি	tʰ a n k u n i
থার্মমিটার	t̪ʰ ɑ ɾ . m ɔ . m i . ʈ̟ ɑ ɾ
থার্মোমিটার	t̪ʰ ɑ ɾ . m o . m i . ʈ̟ ɑ ɾ
দ	d̪ ɔ
দইর্যা	d̪ ɔ i ɾ . d͡ʑ a
দইর্যা	d̪ ɔ i ɹ . ɹ a
দখল	d̪ ɔ kʰ o l
দপ্তর	d̪ ɔ p t̪ o ɾ
দফতর	d̪ ɔ f t̪ o ɾ
দফা	d̪ ɔ f a
দরবার	d̪ ɔ r b a r
দরিয়া	d̪ o r i j a
দলান	d̪ ɒ . l a n
দলিত	d̪ ɔ . l i t̪
দাঁড়ানো	d̪ a ɽ a n o
দাঁড়ানো	d̪ ã ɽ a n o
দাঁড়ানো	d̪ a ɾ a n o
দাঁড়ানো	d̪ a ɹ a n o
দাঁত	d̪ ɑ t̪
দাঁত	d̪ ɑ̃ t̪
দাউদাউ	d̪ a u̯ . d̪ a u̯
দাওয়াত	d̪ a w a t̪
দাখিল	d̪ a kʰ i l
দাড়ি	d a ɽ i
দালান	d̪ a . l a n
দীপঙ্কর	d̪ i . p ɔ ŋ . k ɔ ɾ
দীপান্বিতা	d̪ i . p ɑ n . n i . t̪ ɑ
দীপাবলি	d̪ i . p ɑ . b ɔ . l i
দীপাবলি	d̪ i p ä b o l i
দীপাবলি	d̪ i p ä b o l i
দীপোৎসব	d̪ i . p o t̪ . ʃ ɔ b
দুঃখ	d u k ˈkʰ o
দুইন্যাই	d u i n . n a i
দুইপর	d̪ u i . p ɒ ɾ
দুইপর	d̪ u i . ɸ ɒ ɾ
দুগি	d̪ u . ɡ i
দুপুর	d̪ u p u ɾ
দুরিয়ান	d̪ u . ɾ i . ɑ n
দেখা	ˈd̪ æ kʰ a
দেশ	d̪ e ʃ
দেশি	d̪ e ʃ i
দোতারা	d̪ o t̪ a ɾ a
দোলনা	d o l n a
দ্রুত	d̪ ɾ ʊ t̪ o
ধ	dʱ ɔ
ধন	d̪ʱ ɔ n
ধন	d̪ ɔ n
ধনিয়া	dʱ o n i a
ধনে	dʱ o n e
ধর্ষণ	dʱ ɔ ɾ . ʃ ɔ n
ধাইর	d̪ʱ a i ɾ
ধারি	d̪ʱ a . ɾ i
ধুতুরা	d̪ʱ u t̪ u ɾ ɑ
ধুতুরা	d̪ʱ u t̪ u ɽ ɑ
ন	n ɔ
নং	n ɔ ŋ
নউগল	n ɔ u . ɡ ɔ l
নকল	n ɔ k o l
নগ্ন	n ɔ ɡ n o
নগ্নতা	n ɔ ɡ n o t̪ a
নতুন	n ɔ t̪ u n
নবডঙ্কা	n ɔ . b ɔ . d ɔ ŋ . k ɑ
নববর্ষ	n ɔ . b ɔ . b ɔ ɾ . ʃ ɔ
নববর্ষ	n ɔ̜ b o b ɔ̜ ɾ s̠ o
নববর্ষ	n ɔ̜ b o b ɔ̜ ɾ s̠ o
নভেল	n ɔ . bʱ e l
নমস্কার	n ɔ m ɔ ʃ k a r
নমাজ	n ɔ m a z
নরম	n ɔ ɾ o m
নাইকল	n a i . k ɒ l
নাইহল	n a i . ɦ ɒ l
নাগেশ্বর	n a ɡ e ʃː ɔ ɾ
নাঙ্গা	n a ŋ a
নাঙ্গা	n a ŋ ɡ a
নাদান	n a d̪ a n
নাপ্পি	n ɑ p . p i
নাম	n a m
নামহীন	ˈn a m ɦ i n
নামাজ	n a m a z
নারাজ	n a r a z
নারাজ	n a r a d ʒ
নিমন্ত্রণ	n i m o n t̪ ɾ o n
নিয়াস	n i a ʃ
নিষিদ্ধ	n i ʃ i d̪ːʱ o
নীহারিকা	n i ɦ a ɾ i k a
নীহারিকা	n i ɦ a ɽ i k a
নুনি	n u . n i
নুনু	n u . n u
নেপিদ	n e . p i . d̪ ɔ
নেমন্তন্ন	n e m o n t̪ o n n o
ন্যূনতম	n u n . t̪ ɔ . m ɔ
প	p ɔ
পক্ষে	p ɔ kːʰ e
পছন্দ	p ɔ s o n d̪ o
পছন্দ	p ɔ t ʃʰ o n d̪ o
পটোল	p ɔ ʈ o l
পড়া	ˈp ɔ ɽ a
পড়া	ˈp ɔ ɹ a
পতর	p ɔ . t̪ ɔ ɾ
পতর	p ɒ . t̪ ɔ ɾ
পতর	ɸ ɒ . t̪ ɔ ɾ
পদ্ম	p ɔ d̪ː ɔ
পয়গম্বর	p ɔ e̯ . ɡ ɔ m . b ɔ ɾ
পর	p ɔ ɾ
পর	p ɒ ɾ
পর	ɸ ɒ ɾ
পরশু	p ɔ ɾ . ʃ u
পরা	ˈp ɔ r a
পরা	ˈp ɔ ɹ a
পরিস্থিতি	p ɔ . ɾ i ʃ . t̪ʰ i . t̪ i
পরু	p ɔ ɾ u
পরু	ɸ ɔ ɾ u
পরেন্দা	p ɔ . ɾ ɛ n . d̪ a
পর্ন	p ɔ ɹ n
পর্বত	p ɔ r b ɔ t
পসর	p ɒ . ʃ ɔ ɾ
পসর	ɸ ɒ . ʃ ɔ ɾ
পহর	p ɒ . ɦ ɔ ɾ
পহর	ɸ ɒ . ɦ ɔ ɾ
পা	p a
পাইথন	p ɑ i . t̪ʰ ɔ n
পাউরা	p a u . ɾ a
পাকস্থলী	p a k ɔ s tʰ o l i
পাখি	p a kʰ i
পাছা	p a t ʃʰ a
পাছা	p a s a
পাঠা	ˈp a ʈʰ a
পাঠানো	p ɑ ʈʰ ɑ n o
পাড়	p a ɾ
পাড়	ɸ a ɾ
পাতা	p a t a
পাত্তা	ˈp ä t̪ . t̪ äˑ
পানি	ˈp ɑː n iː
পানিয়ালা	p a n i a l a
পানু	p ɑ . n u
পান্থপাদপ	p a n tʰ ɔ p a d ɔ p
পান্না	p a nː a
পায়ু	p ɑ . e̯ u
পায়ুকাম	p ɑ . e̯ u . k ɑ m
পায়ুকামী	p ɑ . e̯ u . k ɑ . m i
পারদ	p ɑ . ɾ ɔ d̪
পারা	p a ɾ a
পারা	p a ɹ a
পারা	p a ɽ a
পার্থক্য	p a ɾ t̪ʰ ɔ kː o
পার্থক্য	p a ɹ t̪ʰ ɔ kː o
পাসরা	p a . ʃ ɔ . ɾ a
পাহাল	p a . ɦ a l
পাহাল	ɸ a . ɦ a l
পাহুরা	p a . ɦ u . ɾ a
পিতা	p i . t̪ aː
পিপলী	p i p ɔ l i
পিপ্পল	p i pː ɔ l
পিয়ানো	p i ɑ n o
পুজো	p u . d͡ʒ o
পুটকি	p u ʈ k i
পুড়ি	p u . ɾ i
পুড়ি	ɸ u . ɾ i
পুত	p u t̪
পুত	p u t̪
পুত	ɸ u t̪
পুদিনা	p u d̪ i n a
পুরস্কার	p u . ɾ ɔ ʃ . k ɑ ɾ
পুরস্কার	p u ɾ o s̠ k ä ɾ
পুরস্কার	p u ɾ o s̠ k ä ɾ
পুষ্টিকর	p u ʃ . ʈ̟ i . k ɔ ɾ
পুষ্প	p u ʃ p ɔ
পুস্তক	p u s t ɔ k
পূজা	p u . d͡ʒ ɑ
পূতিবাত	p u t i b a t
পেঁক	p ɛ k
পেঁক	ɸ ɛ k
পেঁচা	p ɛ̃ t ʃ a
পেখম	p e kʰ ɔ m
পেরেশান	p e r e ʃ a n
পোয়াত	p ɔ a t̪
পোয়াত	ɸ ɔ a t̪
প্যাঁচা	p ɛ̃ t ʃ a
প্রসব	p ɾ o ʃ ɔ b
প্রসাধন	p ɾ ɔ . ʃ ɑ . d̪ʱ ɔ n
প্রস্তুত	p ɾ ɔ ʃ . t̪ u t̪
প্রাচীন	p r ɑ c i n
প্রেমিক	p ɾ e . m i k
প্রেমিকা	p ɾ e . m i . k ɑ
প্লিজ	p l i z
প্লীজ	p l i z
ফ	pʰ ɔ
ফ	ɸ ɔ
ফ	f ɔ
ফড়িং	pʰ ɔ ɽ i ŋ
ফড়িং	f ɔ ɹ i ŋ
ফল	pʰ ɔ l
ফল	f ɔ l
ফলসা	pʰ ɔ l ʃ a
ফাটাফাটি	ˈf a ʈ a ˌf a ʈ i
ফায়দা	f a j d̪ a
ফারাক	f a r a k
ফিরেবার	ɸ i . ɾ e . b a ɾ
ফুটি	pʰ u ʈ i
ফুল	pʰ u l
ফুল	f u l
ফেলা	ˈpʰ ɛ l ɑ
ফেলা	ˈf ɛ l ɑ
ফ্লপি	pʰ l ɔ p i
ব	b ɔ
বকুল	b o k u l
বগল	b o ɡ o l
বঙ্গ	ˈb ɔ ŋ ɡ ɔ
বজ্র	b ɔ ɟ ɾ ɔ
বড়দিন	b ɔ . ɽ̟ ɔ . d i n
বড়োদিন	b ɔ . ɽ̟ o . d i n
বদলে	b ɔ d o l e
বন	b ɔ n
বন্ধুহীন	ˈb ɔ n d̪ʱ u ˌɦ i n
বন্ধুহীন	ˈb ɔ n d̪ u ˌɦ i n
বন্ধে	b ɒ n . d̪ʱ e
বন্যা	b ɔ nː a
বয়ঃসন্ধি	b ɔ . e̯ ɔ h . ʃ ɔ n . d̪ʱ i
বয়রা	b ɒ e̯ . ɾ a
বরফ	b ɔ r ɔ f
বরফ	b ɔ r ɔ pʰ
বলা	ˈb ɔ l a
বসা	ˈb ɔ ʃ a
বসু	b ɔ . ʃ u
বস্তু	ˈb ɔ s t̪ u
বহেড়া	b ɔ h e ɽ a
বা	b ɑ
বাঁচাও	b ã c a o
বাঁদর	b ã d̪ ɔ ɾ
বাঁদর	b ã d̪ ɔ ɹ
বাঁশি	b ã ʃ i
বাংলাদেশ	ˈb a ŋ l a ˌd̪ e ʃ
বাংলাদেশি	ˈb a ŋ l a ˌd̪ e ʃ i
বাংলাদেশী	ˈb a ŋ l a ˌd̪ e ʃ i
বাঃ	b aʱ
বাইট	b a i ʈ
বাইত্যা	b a i t̪ . t̪ a
বাইরা	b a i ɾ a
বাইরাগ	b a i . ɾ a ɡ
বাকি	b a k i
বাকী	b a k i
বাগ	b a ɡ
বাগান	b a ɡ a n
বাগিচা	b a ɡ i t ʃ a
বাঘ	b a ɡ
বাঘ	b a ɡʱ
বাঙালি	b a ŋ a l i
বাজ	b a z
বাজ	b a d ʒ
বাজ	b a d ʒ
বাজার	b a z a ɾ
বাজার	b a d ʒ a ɾ
বাত	b a t̪
বাত্তি	b a t̪ . t̪ i
বাদ	b a d̪
বাদশাহ	b a d̪ ʃ a ɦ
বাদুড়	b a d̪ u ɽ
বাদুড়	b a d̪ u ɹ
বান	b a n
বানর	b a n ɔ ɾ
বানর	b a n ɔ ɹ
বান্দর	b a n d̪ ɔ ɾ
বান্দর	b a n d̪ ɔ ɹ
বাবা	b a b a
বাবুর্চি	b a b u r t ʃ i
বারি	b a ɾ i
বাল	b a l
বালিশ	b a l i ʃ
বাহ	b aʱ
বাহির	b a ɦ i ɾ
বিচইন	b i . t͡s ɔ i n
বিচইন	b i . s ɔ i n
বিছনা	b i s . n a
বিজেপি	b i . d͡ʒ e . p i
বিজ্ঞান	b i ɡː æ n
বিজ্ঞাপন	b i ɡ j a p ɔ n
বিদেশ	b i d̪ e ʃ
বিদেশি	b i d̪ e ʃ i
বিদেশী	b i d̪ e ʃ i
বিনা	b i n a
বিন্দু	b i n d̪ u
বিবাদ	b i b ɑ d̪
বিভাগ	b i bʱ ɑ ɡ
বিভাগ	b i v ɑ ɡ
বিমানবন্দর	b i . m ɑ n . b ɔ n . d̪ ɔ ɾ
বিয়াল	b i a l
বিরুদ্ধে	b i r u d̪ːʱ e
বিলাই	b i . l a i
বিল্ব	b i lː ɔ
বিশেষজ্ঞ	b i . ʃ e . ʃ ɔ ɡ . ɡ ɔ
বিশেষজ্ঞ	b i s̠ e s̠ ɔ̜ ɡː õ
বিশেষজ্ঞ	b i s̠ e s̠ ɔ̜ ɡː õ
বিশ্বভারতী	b i ʃ . ʃ ɔ . bʱ ɑ . ɾ ɔ . t̪ i
বিশ্বভারতী	b i s̠ː o bʱ ä ɾ o t̪ i
বিশ্বভারতী	b i s̠ː o bʱ ä ɾ o t̪ i
বিশ্রী	b i s ɾ i
বিষ	b i ʃ
বিসর্গ	b i ʃ o r ɡ o
বীচি	ˈb i t ʃ i
বীচি	ˈb i t s i
বীচি	ˈb i s i
বুড়	b u ɾ
বুভুক্ষা	b u ˈbʱ u k . kʰ ɑ
বৃক্ষ	b r i k kʰ o
বেঁহা	b ɛ . ɦ a
বেকুব	b e k u b
বেগুন	b e ɡ u n
বেচইন্যা	b ɛ . t͡s ɔ i n . n a
বেচইন্যা	b ɛ . s ɔ i n . n a
বেডা	b ɛ . d̺ a
বেডি	b e . d̺ i
বেপরোয়া	b e p ɔ r w a
বেল	b e l
বেল	b e l
বেল	b e l
বেল	b e l
বেশী	b e ʃ i
বেশুমার	ˈb e . ʃ u . m ɑ ɾ
বৈঁচি	b õ ĩ̯ c i
বৈকঙ্কত	b o i̯ k ɔ ŋ k ɔ t
বোকা	b o k a
বোকাচোদা	ˈb o . k ɑ ˌt͡ʃ o . d̪ ɑ
বোঝা	b o d ʒʱ ɑ
বোঝা	b o d ʒ ɑ
বোঝা	b o z ɑ
বোন	b o n
বোরকা	b o ɾ k ɑ
বোরকা	b o ɹ k ɑ
বোস	b o ʃ
ব্যক্তি	b æ k t̪ i
ব্যস্ত	b ɛ s t̪ ɔ
ব্যাক	b ɛ k
ব্যাঘ্র	b æ ɡʱ ɾ ɔ
ব্যাটারি	b æ . ʈ̟ ɑ . ɾ i
ব্যাধি	b æ dʱ i
ব্লগ	b l ɔ ɡ
ব্ল্যাকহোল	ˈb l æ k . h o l
ব্ল্যাকহোল	ˈb l ɛ k . h o l
ভ	bʱ ɔ
ভগাঙ্কুর	bʱ ɔ . ɡ ɑ ŋ . k u ɾ
ভয়	bʱ ɔ e̯
ভাই	bʱ a j
ভাঙা	bʱ a ŋ a
ভাঙা	v a ŋ a
ভাজা	bʱ a j a
ভাড়াইট্যা	bʱ a . ɾ a i t̺ . t̺ a
ভাত	bʱ a t
ভারত	ˈbʱ a . ɾ ɔ t̪
ভাল	bʱ ɑ l o
ভাল	v ɑ l o
ভালভা	v a l v a
ভালা	bʱ a l a
ভালুক	bʱ a l u k
ভালুক	v a l u k
ভালো	bʱ a l o
ভালো	v a l o
ভালোবাসা	ˈbʱ a l o ˌb a ʃ a
ভাল্লুক	bʱ a lː u k
ভাল্লুক	v a lː u k
ভাষা	bʱ a ʂ aː
ভাষা	v ɑ ʃ ɑ
ভিয়েতনাম	v i j e t̪ n a m
ভিসি	bʱ i . ʃ i
ভুঁইচাল	bʱ u i . t͡s a l
ভুঁইচাল	bʱ u i . s a l
ভেড়া	bʱ e ɽ ɑ
ভেড়া	v e ɽ ɑ
ভেস্তা	bʱ e ʃ . t̪ ɑ
ভোদা	bʱ o d̪ a
ভোদা	b o d̪ a
ভোদা	v o d̪ a
ম	m ɔ
মই	m ɔ i
মত	ˈm ɔ t̪ o
মতি	m ɔ . t̪ i
মতো	ˈm ɔ t̪ o
মন্দ	m ɔ n . d̪ ɔ
মন্দ	m ɔ n . d̪ o
মন্দ	m ɔ n d̪
মন্দ	m ɔ n . d̪ ɔ
ময়ূর	m ɔ j u ɽ
ময়ূর	m ɔ j u ɾ
ময়ূর	m ɔ j u ɹ
ময়ূরী	m ɔ j u ɽ i
ময়ূরী	m ɔ j u ɾ i
ময়ূরী	m ɔ j u ɹ i
মরণ	m ɒ . ɹ ɒ n
মরা	ˈm ɔ ɾ a
মরা	ˈm ɔ ɹ a
মরিচ	m o ɾ i t ʃ
মলম	m ɔ l o m
মস্তিষ্ক	m ɔ s t̪ i ʃ k o
মহাভারত	m ɔ . ɦ ɑ . bʱ ɑ . ɾ ɔ t̪
মাইনষে	m a i n . ʃ e
মাকড়শা	m a k ɔ ɾ ʃ ɑ
মাকড়শা	m a k ɔ ɽ ʃ ɑ
মাকড়সা	m a k ɔ ɾ ʃ ɑ
মাকড়সা	m a k ɔ ɽ ʃ ɑ
মাখন	m ɑ kʰ ɔ n
মাছ	m ɑ t ʃʰ
মাছ	m ɑ s
মাছি	ˈm a t ʃʰ i
মাছি	ˈm a s i
মাত	m a t̪
মাতা	m a . t̪ a
মাতৃ	m ɑ t̪ . ɾ i
মাতৃভাষা	m ɑ t̪ . ɾ i . bʱ ɑ . ʃ ɑ
মাথা	m a t̪ʰ a
মাদান	m a . d̪ a n
মাধ্যমে	m a d̪ːʱ ɔ m e
মানষি	m a n . ʃ i
মানসিক	m ɑ . n ɔ . ʃ i k
মানু	m a . n u
মানুষ	m a n u ʃ
মাল	m ɑ l
মালূর	m a l u ɾ
মাশাআল্লাহ্	m a ʃ a . a l l aʱ
মিডা	m i . d̺ a
মিনসা	m i n . ʃ a
মু	m u
মুকেরি	ˈm u . k e . ɾ i
মুকেরি	ˈm u . k ɛ . ɾ i
মুক্তা	m u k t a
মুক্তিযুদ্ধ	m u k . t̪ i . d͡ʒ u d̪ . d̪ʱ ɔ
মুখ	m u kʰ
মুখ্যমন্ত্রী	m u k . kʰ ɔ . m ɔ n . t̪ ɾ i
মুখ্যমন্ত্রী	m u kːʰ o m o n t̪ ɾ i
মুখ্যমন্ত্রী	m u kːʰ o m o n t̪ ɾ i
মুত	m u t̪
